GO,Interpro,n,n_go,n_ip,s
GO:0000127,IPR019136,4,17,4,0.38095238095238093
GO:0000127,IPR019481,4,17,4,0.38095238095238093
GO:0000127,IPR024761,3,17,3,0.3
GO:0000127,IPR024764,4,17,4,0.38095238095238093
GO:0000127,IPR035625,4,17,4,0.38095238095238093
GO:0000127,IPR041499,4,17,4,0.38095238095238093
GO:0000128,IPR018871,3,19,4,0.2608695652173913
GO:0000128,IPR021746,3,19,4,0.2608695652173913
GO:0000132,IPR006964,17,105,19,0.27419354838709675
GO:0000137,IPR043976,10,41,10,0.39215686274509803
GO:0000138,IPR006977,11,50,22,0.3055555555555556
GO:0000138,IPR039899,7,50,12,0.22580645161290322
GO:0000145,IPR007191,8,56,8,0.25
GO:0000145,IPR019160,7,56,7,0.2222222222222222
GO:0000145,IPR028258,11,56,11,0.3283582089552239
GO:0000145,IPR032403,14,56,15,0.39436619718309857
GO:0000145,IPR039481,9,56,9,0.27692307692307694
GO:0000146,IPR001609,59,61,146,0.5700483091787439
GO:0000146,IPR002928,21,61,53,0.3684210526315789
GO:0000146,IPR004009,35,61,73,0.5223880597014925
GO:0000146,IPR010926,13,61,33,0.2765957446808511
GO:0000146,IPR036072,13,61,33,0.2765957446808511
GO:0000147,IPR000697,8,45,34,0.20253164556962025
GO:0000147,IPR003124,17,45,64,0.3119266055045872
GO:0000147,IPR033927,7,45,7,0.2692307692307692
GO:0000148,IPR026899,6,7,16,0.5217391304347826
GO:0000149,IPR000727,127,305,160,0.546236559139785
GO:0000149,IPR001565,36,305,47,0.20454545454545456
GO:0000149,IPR006011,58,305,58,0.31955922865013775
GO:0000150,IPR002104,7,43,19,0.22580645161290322
GO:0000150,IPR006119,9,43,10,0.33962264150943394
GO:0000150,IPR013632,22,43,45,0.5
GO:0000150,IPR020587,20,43,45,0.45454545454545453
GO:0000150,IPR020588,23,43,82,0.368
GO:0000150,IPR033925,21,43,35,0.5384615384615384
GO:0000150,IPR044068,7,43,16,0.23728813559322035
GO:0000151,IPR001810,182,910,569,0.24611223799864773
GO:0000152,IPR032443,33,176,34,0.3142857142857143
GO:0000153,IPR003892,10,44,55,0.20202020202020202
GO:0000153,IPR022772,6,44,6,0.24
GO:0000153,IPR024053,6,44,6,0.24
GO:0000154,IPR006145,51,358,67,0.24
GO:0000154,IPR020598,56,358,57,0.26987951807228916
GO:0000155,IPR003594,78,84,273,0.4369747899159664
GO:0000155,IPR003660,29,84,64,0.3918918918918919
GO:0000155,IPR003661,66,84,124,0.6346153846153846
GO:0000155,IPR004358,70,84,125,0.6698564593301436
GO:0000155,IPR005467,79,84,161,0.6448979591836734
GO:0000156,IPR001789,103,116,238,0.5819209039548022
GO:0000156,IPR001867,57,116,70,0.6129032258064516
GO:0000159,IPR041534,7,19,10,0.4827586206896552
GO:0000160,IPR001789,50,133,238,0.2695417789757412
GO:0000160,IPR003594,43,133,273,0.21182266009852216
GO:0000160,IPR003660,23,133,64,0.233502538071066
GO:0000160,IPR003661,39,133,124,0.3035019455252918
GO:0000160,IPR004358,40,133,125,0.31007751937984496
GO:0000160,IPR005467,44,133,161,0.29931972789115646
GO:0000160,IPR008207,18,133,24,0.22929936305732485
GO:0000162,IPR000312,40,180,57,0.33755274261603374
GO:0000162,IPR001240,39,180,39,0.3561643835616438
GO:0000162,IPR001926,43,180,174,0.24293785310734464
GO:0000162,IPR006221,27,180,35,0.25116279069767444
GO:0000162,IPR013798,36,180,36,0.3333333333333333
GO:0000162,IPR017459,39,180,56,0.3305084745762712
GO:0000164,IPR005036,5,26,21,0.2127659574468085
GO:0000164,IPR019523,6,26,7,0.36363636363636365
GO:0000164,IPR031675,10,26,41,0.29850746268656714
GO:0000170,IPR013866,3,6,15,0.2857142857142857
GO:0000171,IPR002775,2,7,9,0.25
GO:0000171,IPR009723,4,7,4,0.7272727272727273
GO:0000171,IPR012590,4,7,4,0.7272727272727273
GO:0000172,IPR002775,4,9,9,0.4444444444444444
GO:0000172,IPR009723,4,9,4,0.6153846153846154
GO:0000172,IPR012590,4,9,4,0.6153846153846154
GO:0000175,IPR001247,51,224,115,0.3008849557522124
GO:0000175,IPR003029,44,224,159,0.2297650130548303
GO:0000175,IPR005135,41,224,152,0.21808510638297873
GO:0000175,IPR013520,59,224,125,0.33810888252148996
GO:0000175,IPR015847,47,224,101,0.28923076923076924
GO:0000175,IPR015848,37,224,45,0.275092936802974
GO:0000175,IPR022967,43,224,186,0.2097560975609756
GO:0000176,IPR001247,39,70,115,0.42162162162162165
GO:0000176,IPR015847,27,70,101,0.3157894736842105
GO:0000177,IPR001247,45,89,115,0.4411764705882353
GO:0000177,IPR015847,33,89,101,0.3473684210526316
GO:0000177,IPR022192,14,89,14,0.27184466019417475
GO:0000177,IPR033770,10,89,10,0.20202020202020202
GO:0000177,IPR033771,11,89,15,0.21153846153846154
GO:0000177,IPR041082,11,89,12,0.21782178217821782
GO:0000177,IPR044774,14,89,15,0.2692307692307692
GO:0000178,IPR001247,45,127,115,0.371900826446281
GO:0000178,IPR001900,25,127,43,0.29411764705882354
GO:0000178,IPR015847,33,127,101,0.2894736842105263
GO:0000178,IPR033771,15,127,15,0.2112676056338028
GO:0000178,IPR041505,20,127,21,0.2702702702702703
GO:0000179,IPR020598,56,56,57,0.9911504424778761
GO:0000182,IPR007309,5,35,5,0.25
GO:0000182,IPR019136,4,35,4,0.20512820512820512
GO:0000182,IPR035625,4,35,4,0.20512820512820512
GO:0000182,IPR041499,4,35,4,0.20512820512820512
GO:0000188,IPR000340,25,44,157,0.24875621890547264
GO:0000188,IPR000697,8,44,34,0.20512820512820512
GO:0000188,IPR020422,25,44,168,0.2358490566037736
GO:0000188,IPR023337,8,44,8,0.3076923076923077
GO:0000188,IPR041937,8,44,8,0.3076923076923077
GO:0000209,IPR000608,114,665,239,0.252212389380531
GO:0000209,IPR001841,247,665,1088,0.2818026240730177
GO:0000210,IPR015375,3,5,9,0.42857142857142855
GO:0000210,IPR015376,3,5,13,0.3333333333333333
GO:0000213,IPR006677,22,32,22,0.8148148148148148
GO:0000213,IPR006678,12,32,12,0.5454545454545454
GO:0000213,IPR018593,4,32,6,0.21052631578947367
GO:0000213,IPR024336,6,32,6,0.3157894736842105
GO:0000214,IPR006677,18,36,22,0.6206896551724138
GO:0000214,IPR006678,12,36,12,0.5
GO:0000214,IPR010655,8,36,30,0.24242424242424243
GO:0000214,IPR024336,6,36,6,0.2857142857142857
GO:0000214,IPR032324,8,36,30,0.24242424242424243
GO:0000217,IPR000432,22,119,89,0.21153846153846154
GO:0000217,IPR007695,19,119,68,0.20320855614973263
GO:0000217,IPR007696,22,119,88,0.21256038647342995
GO:0000217,IPR007860,21,119,71,0.22105263157894736
GO:0000217,IPR007861,20,119,65,0.21739130434782608
GO:0000217,IPR013632,20,119,45,0.24390243902439024
GO:0000217,IPR020588,21,119,82,0.208955223880597
GO:0000221,IPR011987,4,12,7,0.42105263157894735
GO:0000221,IPR031686,5,12,28,0.25
GO:0000224,IPR002931,17,19,54,0.4657534246575342
GO:0000224,IPR006588,7,19,8,0.5185185185185185
GO:0000224,IPR018325,7,19,15,0.4117647058823529
GO:0000224,IPR018997,5,19,14,0.30303030303030304
GO:0000229,IPR002197,7,29,29,0.2413793103448276
GO:0000235,IPR004953,5,32,16,0.20833333333333334
GO:0000242,IPR012943,6,30,11,0.2926829268292683
GO:0000243,IPR034102,6,40,6,0.2608695652173913
GO:0000244,IPR008669,5,36,6,0.23809523809523808
GO:0000244,IPR010491,6,36,6,0.2857142857142857
GO:0000244,IPR012591,7,36,7,0.32558139534883723
GO:0000244,IPR012592,7,36,7,0.32558139534883723
GO:0000244,IPR012984,7,36,7,0.32558139534883723
GO:0000244,IPR019580,7,36,7,0.32558139534883723
