GO,Interpro,n,n_go,n_ip,s
GO:0010359,IPR031161,7,29,9,0.3684210526315789
GO:0010359,IPR035423,7,29,8,0.3783783783783784
GO:0010360,IPR031161,5,11,9,0.5
GO:0010360,IPR035423,5,11,8,0.5263157894736842
GO:0010363,IPR035667,2,13,2,0.26666666666666666
GO:0010369,IPR032196,5,44,5,0.20408163265306123
GO:0010370,IPR029400,2,5,2,0.5714285714285714
GO:0010384,IPR025298,3,8,7,0.4
GO:0010385,IPR000976,7,31,7,0.3684210526315789
GO:0010387,IPR029325,2,9,5,0.2857142857142857
GO:0010390,IPR032443,33,88,34,0.5409836065573771
GO:0010391,IPR022790,2,5,8,0.3076923076923077
GO:0010391,IPR037461,3,5,3,0.75
GO:0010391,IPR040794,3,5,3,0.75
GO:0010393,IPR000070,21,80,70,0.28
GO:0010393,IPR002022,30,80,38,0.5084745762711864
GO:0010396,IPR005069,4,6,11,0.47058823529411764
GO:0010404,IPR025298,3,8,7,0.4
GO:0010405,IPR025298,3,8,7,0.4
GO:0010411,IPR012419,4,28,8,0.2222222222222222
GO:0010413,IPR005154,3,15,5,0.3
GO:0010413,IPR011099,3,15,5,0.3
GO:0010413,IPR011100,3,15,5,0.3
GO:0010413,IPR040911,12,15,36,0.47058823529411764
GO:0010417,IPR040911,12,12,36,0.5
GO:0010424,IPR001025,17,24,60,0.40476190476190477
GO:0010424,IPR010506,5,24,17,0.24390243902439024
GO:0010424,IPR022702,10,24,11,0.5714285714285714
GO:0010427,IPR000916,4,7,19,0.3076923076923077
GO:0010427,IPR022535,3,7,6,0.46153846153846156
GO:0010427,IPR025969,3,7,6,0.46153846153846156
GO:0010428,IPR003105,6,8,20,0.42857142857142855
GO:0010429,IPR003105,6,6,20,0.46153846153846156
GO:0010432,IPR024228,2,4,14,0.2222222222222222
GO:0010433,IPR024228,2,3,14,0.23529411764705882
GO:0010434,IPR024228,2,3,14,0.23529411764705882
GO:0010447,IPR001498,11,89,15,0.21153846153846154
GO:0010452,IPR003616,15,30,89,0.25210084033613445
GO:0010452,IPR006560,10,30,29,0.3389830508474576
GO:0010452,IPR015353,6,30,21,0.23529411764705882
GO:0010452,IPR044417,4,30,5,0.22857142857142856
GO:0010452,IPR044428,6,30,7,0.32432432432432434
GO:0010452,IPR044437,5,30,13,0.23255813953488372
GO:0010456,IPR013558,2,2,14,0.25
GO:0010457,IPR022157,2,14,5,0.21052631578947367
GO:0010457,IPR029249,2,14,2,0.25
GO:0010460,IPR001928,8,40,15,0.2909090909090909
GO:0010461,IPR013555,2,2,17,0.21052631578947367
GO:0010463,IPR022752,2,16,2,0.2222222222222222
GO:0010463,IPR035859,2,16,2,0.2222222222222222
GO:0010465,IPR031635,3,6,8,0.42857142857142855
GO:0010465,IPR040665,2,6,2,0.5
GO:0010466,IPR023796,167,412,178,0.5661016949152542
GO:0010476,IPR021914,6,40,10,0.24
GO:0010482,IPR037611,2,7,2,0.4444444444444444
GO:0010484,IPR015187,3,17,6,0.2608695652173913
GO:0010484,IPR015188,3,17,4,0.2857142857142857
GO:0010484,IPR015205,3,17,4,0.2857142857142857
GO:0010484,IPR015252,3,17,6,0.2608695652173913
GO:0010484,IPR031908,2,17,2,0.21052631578947367
GO:0010484,IPR031910,2,17,2,0.21052631578947367
GO:0010484,IPR034265,2,17,2,0.21052631578947367
GO:0010485,IPR002717,20,80,30,0.36363636363636365
GO:0010485,IPR019467,17,80,17,0.35051546391752575
GO:0010485,IPR025995,18,80,43,0.2926829268292683
GO:0010485,IPR040706,20,80,30,0.36363636363636365
GO:0010486,IPR027470,3,3,22,0.24
GO:0010487,IPR030374,10,10,47,0.3508771929824561
GO:0010487,IPR035246,8,10,35,0.35555555555555557
GO:0010496,IPR013092,16,40,48,0.36363636363636365
GO:0010496,IPR019570,16,40,48,0.36363636363636365
GO:0010499,IPR000426,79,101,127,0.6929824561403509
GO:0010501,IPR014811,6,17,34,0.23529411764705882
GO:0010501,IPR032472,6,17,25,0.2857142857142857
GO:0010501,IPR032473,6,17,21,0.3157894736842105
GO:0010501,IPR032474,6,17,27,0.2727272727272727
GO:0010501,IPR044445,4,17,6,0.34782608695652173
GO:0010501,IPR044446,4,17,6,0.34782608695652173
GO:0010501,IPR044447,4,17,5,0.36363636363636365
GO:0010508,IPR000199,36,296,40,0.21428571428571427
GO:0010508,IPR000605,36,296,46,0.21052631578947367
GO:0010508,IPR001205,36,296,43,0.21238938053097345
GO:0010508,IPR001676,36,296,40,0.21428571428571427
GO:0010508,IPR014759,36,296,41,0.21364985163204747
GO:0010508,IPR033703,36,296,41,0.21364985163204747
GO:0010508,IPR044067,36,296,40,0.21428571428571427
GO:0010510,IPR018955,6,10,16,0.46153846153846156
GO:0010511,IPR000072,10,36,40,0.2631578947368421
GO:0010511,IPR006782,10,36,10,0.43478260869565216
GO:0010512,IPR000072,10,15,40,0.36363636363636365
GO:0010512,IPR006782,10,15,10,0.8
GO:0010513,IPR001507,9,21,67,0.20454545454545456
GO:0010519,IPR015015,2,11,6,0.23529411764705882
GO:0010519,IPR035837,2,11,6,0.23529411764705882
GO:0010520,IPR044417,4,30,5,0.22857142857142856
GO:0010521,IPR011564,7,13,8,0.6666666666666666
GO:0010521,IPR032042,4,13,5,0.4444444444444444
GO:0010528,IPR002125,21,95,101,0.21428571428571427
GO:0010528,IPR003165,16,95,49,0.2222222222222222
GO:0010529,IPR002125,21,83,101,0.22826086956521738
GO:0010529,IPR003100,16,83,66,0.21476510067114093
GO:0010529,IPR003165,16,83,49,0.24242424242424243
GO:0010533,IPR015321,4,16,22,0.21052631578947367
GO:0010533,IPR033834,3,16,3,0.3157894736842105
GO:0010536,IPR015321,4,11,22,0.24242424242424243
GO:0010536,IPR019482,2,11,7,0.2222222222222222
GO:0010536,IPR033834,3,11,3,0.42857142857142855
GO:0010543,IPR006782,10,79,10,0.2247191011235955
GO:0010544,IPR000072,10,50,40,0.2222222222222222
GO:0010544,IPR006782,10,50,10,0.3333333333333333
GO:0010555,IPR005516,3,10,7,0.35294117647058826
GO:0010561,IPR007084,9,21,30,0.35294117647058826
GO:0010562,IPR000719,568,2387,3083,0.2076782449725777
GO:0010569,IPR006554,20,130,44,0.22988505747126436
GO:0010569,IPR006555,20,130,47,0.22598870056497175
GO:0010569,IPR010614,20,130,44,0.22988505747126436
GO:0010569,IPR014013,20,130,48,0.2247191011235955
GO:0010571,IPR006572,7,26,9,0.4
GO:0010571,IPR041430,3,26,3,0.20689655172413793
GO:0010572,IPR032402,3,13,8,0.2857142857142857
GO:0010572,IPR033991,3,13,14,0.2222222222222222
GO:0010573,IPR014887,3,6,8,0.42857142857142855
GO:0010573,IPR040679,2,6,2,0.5
GO:0010573,IPR040950,2,6,2,0.5
GO:0010574,IPR003502,10,63,28,0.21978021978021978
GO:0010575,IPR003502,10,53,28,0.24691358024691357
GO:0010581,IPR032640,3,7,22,0.20689655172413793
GO:0010587,IPR002059,9,26,52,0.23076923076923078
GO:0010587,IPR041093,4,26,8,0.23529411764705882
GO:0010588,IPR006948,3,13,4,0.35294117647058826
GO:0010593,IPR041362,3,13,16,0.20689655172413793
GO:0010597,IPR042057,3,4,14,0.3333333333333333
GO:0010603,IPR009604,11,52,12,0.34375
GO:0010603,IPR025852,10,52,11,0.31746031746031744
GO:0010603,IPR041332,16,52,18,0.45714285714285713
GO:0010606,IPR041332,16,31,18,0.6530612244897959
GO:0010607,IPR019167,3,7,8,0.4
GO:0010610,IPR024666,2,14,2,0.25
GO:0010610,IPR034069,2,14,2,0.25
GO:0010610,IPR034186,3,14,3,0.35294117647058826
GO:0010610,IPR034630,2,14,2,0.25
GO:0010610,IPR034631,2,14,2,0.25
GO:0010610,IPR034990,2,14,2,0.25
GO:0010612,IPR021619,2,13,6,0.21052631578947367
GO:0010612,IPR022141,3,13,9,0.2727272727272727
GO:0010616,IPR015116,2,8,7,0.26666666666666666
GO:0010616,IPR021619,2,8,6,0.2857142857142857
GO:0010616,IPR022141,3,8,9,0.35294117647058826
GO:0010618,IPR041266,2,2,3,0.8
GO:0010636,IPR041170,2,10,2,0.3333333333333333
GO:0010636,IPR041565,2,10,2,0.3333333333333333
GO:0010637,IPR001915,5,18,24,0.23809523809523808
GO:0010640,IPR003153,7,54,10,0.21875
GO:0010640,IPR014741,7,54,11,0.2153846153846154
GO:0010640,IPR014742,7,54,10,0.21875
GO:0010640,IPR024159,7,54,11,0.2153846153846154
GO:0010640,IPR039520,7,54,7,0.22950819672131148
GO:0010641,IPR002558,4,13,11,0.3333333333333333
GO:0010641,IPR015373,5,13,30,0.23255813953488372
GO:0010641,IPR032422,4,13,4,0.47058823529411764
GO:0010642,IPR015098,5,29,8,0.2702702702702703
GO:0010643,IPR031862,2,4,4,0.5
GO:0010644,IPR013092,10,20,48,0.29411764705882354
GO:0010644,IPR019570,10,20,48,0.29411764705882354
GO:0010644,IPR031862,3,20,4,0.25
GO:0010645,IPR031862,2,2,4,0.6666666666666666
GO:0010649,IPR037971,3,18,3,0.2857142857142857
GO:0010649,IPR040745,3,18,7,0.24
GO:0010650,IPR007943,2,6,6,0.3333333333333333
GO:0010650,IPR037971,3,6,3,0.6666666666666666
GO:0010650,IPR040745,3,6,7,0.46153846153846156
GO:0010652,IPR031862,2,2,4,0.6666666666666666
GO:0010657,IPR014930,2,7,9,0.25
GO:0010669,IPR000519,14,67,31,0.2857142857142857
GO:0010685,IPR032696,6,6,50,0.21428571428571427
GO:0010685,IPR032697,6,6,47,0.22641509433962265
GO:0010686,IPR032696,6,6,50,0.21428571428571427
GO:0010686,IPR032697,6,6,47,0.22641509433962265
GO:0010694,IPR022102,4,13,16,0.27586206896551724
GO:0010694,IPR029002,3,13,6,0.3157894736842105
GO:0010694,IPR034177,2,13,3,0.25
GO:0010706,IPR027791,6,6,19,0.48
GO:0010706,IPR027995,6,6,17,0.5217391304347826
GO:0010714,IPR001111,14,56,75,0.21374045801526717
GO:0010715,IPR002469,6,33,26,0.2033898305084746
GO:0010716,IPR002469,6,9,26,0.34285714285714286
GO:0010716,IPR040522,3,9,3,0.5
GO:0010718,IPR001111,20,98,75,0.23121387283236994
GO:0010724,IPR034731,2,6,5,0.36363636363636365
GO:0010727,IPR035750,3,11,9,0.3
GO:0010728,IPR035750,3,10,9,0.3157894736842105
GO:0010730,IPR035750,3,4,9,0.46153846153846156
GO:0010736,IPR033897,4,4,28,0.25
GO:0010738,IPR024635,11,55,11,0.3333333333333333
GO:0010742,IPR003101,2,9,7,0.25
GO:0010742,IPR010303,2,9,6,0.26666666666666666
GO:0010742,IPR014744,2,9,5,0.2857142857142857
GO:0010742,IPR022590,4,9,5,0.5714285714285714
GO:0010742,IPR022752,2,9,2,0.36363636363636365
GO:0010742,IPR031162,2,9,9,0.2222222222222222
GO:0010742,IPR035859,2,9,2,0.36363636363636365
GO:0010744,IPR009454,3,20,5,0.24
GO:0010744,IPR022176,3,20,3,0.2608695652173913
GO:0010746,IPR034676,3,11,5,0.375
GO:0010746,IPR034677,3,11,4,0.4
GO:0010746,IPR039026,6,11,14,0.48
GO:0010748,IPR034676,3,9,5,0.42857142857142855
GO:0010748,IPR034677,3,9,4,0.46153846153846156
GO:0010748,IPR039026,6,9,14,0.5217391304347826
GO:0010749,IPR022141,3,20,9,0.20689655172413793
GO:0010751,IPR022141,3,6,9,0.4
GO:0010752,IPR002073,13,35,76,0.23423423423423423
GO:0010754,IPR002073,13,21,76,0.26804123711340205
GO:0010754,IPR003018,11,21,84,0.20952380952380953
GO:0010756,IPR015352,2,16,2,0.2222222222222222
GO:0010757,IPR033833,2,13,3,0.25
GO:0010757,IPR033849,2,13,4,0.23529411764705882
GO:0010760,IPR000020,3,7,22,0.20689655172413793
GO:0010760,IPR035877,2,7,2,0.4444444444444444
GO:0010760,IPR041425,2,7,10,0.23529411764705882
GO:0010765,IPR024678,11,68,21,0.24719101123595505
GO:0010766,IPR024678,13,42,21,0.4126984126984127
GO:0010766,IPR033776,5,42,5,0.2127659574468085
GO:0010766,IPR040524,5,42,5,0.2127659574468085
GO:0010767,IPR034670,5,12,9,0.47619047619047616
GO:0010771,IPR001627,54,182,94,0.391304347826087
GO:0010771,IPR016201,43,182,118,0.2866666666666667
GO:0010780,IPR040843,2,3,6,0.4444444444444444
GO:0010792,IPR008598,4,14,20,0.23529411764705882
GO:0010792,IPR013882,6,14,7,0.5714285714285714
GO:0010792,IPR019518,6,14,8,0.5454545454545454
GO:0010792,IPR034734,4,14,10,0.3333333333333333
GO:0010793,IPR017923,16,30,50,0.4
GO:0010796,IPR019143,2,5,13,0.2222222222222222
GO:0010796,IPR021563,2,5,12,0.23529411764705882
GO:0010801,IPR000697,8,33,34,0.23880597014925373
GO:0010801,IPR023337,8,33,8,0.3902439024390244
GO:0010801,IPR041937,8,33,8,0.3902439024390244
GO:0010807,IPR010439,3,10,14,0.25
GO:0010807,IPR014772,3,10,17,0.2222222222222222
GO:0010807,IPR019558,3,10,12,0.2727272727272727
GO:0010807,IPR037302,3,10,7,0.35294117647058826
GO:0010808,IPR010439,2,4,14,0.2222222222222222
GO:0010808,IPR019558,2,4,12,0.25
GO:0010808,IPR037302,2,4,7,0.36363636363636365
GO:0010814,IPR008753,3,3,25,0.21428571428571427
GO:0010814,IPR018497,3,3,24,0.2222222222222222
GO:0010816,IPR008753,3,3,25,0.21428571428571427
GO:0010816,IPR018497,3,3,24,0.2222222222222222
GO:0010819,IPR001811,20,37,155,0.20833333333333334
GO:0010819,IPR024678,7,37,21,0.2413793103448276
GO:0010820,IPR024678,7,32,21,0.2641509433962264
GO:0010825,IPR000959,5,19,22,0.24390243902439024
GO:0010825,IPR009852,3,19,3,0.2727272727272727
GO:0010825,IPR022136,3,19,3,0.2727272727272727
GO:0010825,IPR033696,5,19,7,0.38461538461538464
GO:0010825,IPR033698,5,19,7,0.38461538461538464
GO:0010825,IPR033699,5,19,7,0.38461538461538464
GO:0010826,IPR009464,5,30,6,0.2777777777777778
GO:0010826,IPR012943,5,30,11,0.24390243902439024
GO:0010830,IPR002546,16,118,22,0.22857142857142856
GO:0010831,IPR002546,16,71,22,0.34408602150537637
GO:0010833,IPR007199,15,125,16,0.2127659574468085
GO:0010833,IPR013955,17,125,22,0.23129251700680273
GO:0010833,IPR031657,17,125,19,0.2361111111111111
GO:0010835,IPR002706,3,16,5,0.2857142857142857
GO:0010835,IPR029400,2,16,2,0.2222222222222222
GO:0010835,IPR045080,3,16,4,0.3
GO:0010836,IPR002706,3,7,5,0.5
GO:0010836,IPR006551,2,7,6,0.3076923076923077
GO:0010836,IPR029400,2,7,2,0.4444444444444444
GO:0010836,IPR045080,3,7,4,0.5454545454545454
GO:0010839,IPR042153,3,17,11,0.21428571428571427
GO:0010844,IPR003655,3,6,16,0.2727272727272727
GO:0010844,IPR044417,4,6,5,0.7272727272727273
GO:0010845,IPR003655,4,15,16,0.25806451612903225
GO:0010845,IPR044417,4,15,5,0.4
GO:0010848,IPR013530,2,2,12,0.2857142857142857
GO:0010848,IPR013732,2,2,12,0.2857142857142857
GO:0010848,IPR013733,2,2,12,0.2857142857142857
GO:0010854,IPR003644,3,5,19,0.25
GO:0010854,IPR006558,2,5,9,0.2857142857142857
GO:0010855,IPR003644,3,5,19,0.25
GO:0010855,IPR006558,2,5,9,0.2857142857142857
GO:0010862,IPR001111,69,131,75,0.6699029126213593
GO:0010862,IPR001839,101,131,128,0.7799227799227799
GO:0010866,IPR001840,6,40,13,0.22641509433962265
GO:0010866,IPR011948,9,40,31,0.2535211267605634
GO:0010866,IPR035815,6,40,8,0.25
GO:0010866,IPR041425,6,40,10,0.24
GO:0010867,IPR011948,9,31,31,0.2903225806451613
GO:0010868,IPR034672,2,3,9,0.3333333333333333
GO:0010870,IPR014887,3,21,8,0.20689655172413793
GO:0010872,IPR033834,3,12,3,0.4
GO:0010873,IPR033834,3,7,3,0.6
GO:0010880,IPR041858,8,48,9,0.2807017543859649
GO:0010880,IPR041859,7,48,8,0.25
GO:0010880,IPR041860,7,48,8,0.25
GO:0010881,IPR031688,5,31,14,0.2222222222222222
GO:0010881,IPR041858,5,31,9,0.25
GO:0010881,IPR041859,4,31,8,0.20512820512820512
GO:0010881,IPR041860,4,31,8,0.20512820512820512
GO:0010882,IPR041858,5,37,9,0.21739130434782608
GO:0010884,IPR001840,6,39,13,0.23076923076923078
GO:0010884,IPR035815,6,39,8,0.2553191489361702
GO:0010884,IPR041425,6,39,10,0.24489795918367346
GO:0010885,IPR022176,3,26,3,0.20689655172413793
GO:0010886,IPR009454,3,10,5,0.4
GO:0010886,IPR015255,3,10,14,0.25
GO:0010886,IPR022176,3,10,3,0.46153846153846156
GO:0010887,IPR022590,3,16,5,0.2857142857142857
GO:0010889,IPR033903,4,15,4,0.42105263157894735
GO:0010890,IPR003508,2,5,14,0.21052631578947367
GO:0010891,IPR033903,4,10,4,0.5714285714285714
GO:0010896,IPR033903,4,25,4,0.27586206896551724
GO:0010897,IPR029002,3,8,6,0.42857142857142855
GO:0010898,IPR015104,2,15,3,0.2222222222222222
GO:0010898,IPR033903,4,15,4,0.42105263157894735
GO:0010908,IPR013558,2,2,14,0.25
GO:0010909,IPR013558,2,2,14,0.25
GO:0010911,IPR044445,6,15,6,0.5714285714285714
GO:0010911,IPR044446,6,15,6,0.5714285714285714
GO:0010911,IPR044447,5,15,5,0.5
GO:0010912,IPR044445,6,15,6,0.5714285714285714
GO:0010912,IPR044446,6,15,6,0.5714285714285714
GO:0010912,IPR044447,5,15,5,0.5
GO:0010915,IPR009066,2,2,2,1.0
GO:0010915,IPR010483,2,2,2,1.0
GO:0010915,IPR037999,2,2,2,1.0
GO:0010915,IPR038001,2,2,2,1.0
GO:0010916,IPR009066,2,2,2,1.0
GO:0010916,IPR010483,2,2,2,1.0
GO:0010916,IPR037999,2,2,2,1.0
GO:0010916,IPR038001,2,2,2,1.0
GO:0010918,IPR032435,3,17,5,0.2727272727272727
GO:0010918,IPR034676,3,17,5,0.2727272727272727
GO:0010918,IPR034677,3,17,4,0.2857142857142857
GO:0010918,IPR039026,6,17,14,0.3870967741935484
GO:0010929,IPR041082,2,6,12,0.2222222222222222
GO:0010932,IPR042698,2,2,2,1.0
GO:0010932,IPR042747,2,2,2,1.0
GO:0010933,IPR042698,2,2,2,1.0
GO:0010933,IPR042747,2,2,2,1.0
GO:0010935,IPR001111,15,34,75,0.27522935779816515
GO:0010936,IPR001111,15,21,75,0.3125
GO:0010936,IPR001839,15,21,128,0.20134228187919462
GO:0010936,IPR039805,3,21,3,0.25
GO:0010940,IPR025735,5,20,11,0.3225806451612903
GO:0010944,IPR008121,5,21,5,0.38461538461538464
GO:0010944,IPR013854,5,21,14,0.2857142857142857
GO:0010950,IPR001315,44,305,78,0.2297650130548303
GO:0010951,IPR023796,167,384,178,0.594306049822064
GO:0010952,IPR001315,44,328,78,0.21674876847290642
GO:0010960,IPR002550,6,23,31,0.2222222222222222
GO:0010960,IPR037971,3,23,3,0.23076923076923078
GO:0010960,IPR044751,6,23,35,0.20689655172413793
GO:0010961,IPR006667,2,6,8,0.2857142857142857
GO:0010963,IPR033834,2,5,3,0.5
GO:0010966,IPR026022,26,41,26,0.7761194029850746
GO:0010968,IPR010630,2,15,4,0.21052631578947367
GO:0010972,IPR015163,24,208,25,0.20600858369098712
GO:0010974,IPR018844,3,15,3,0.3333333333333333
GO:0010974,IPR042823,2,15,2,0.23529411764705882
GO:0010977,IPR001627,54,298,94,0.2755102040816326
GO:0010977,IPR016201,43,298,118,0.20673076923076922
GO:0010979,IPR042153,3,3,11,0.42857142857142855
GO:0010980,IPR042153,3,3,11,0.42857142857142855
GO:0010981,IPR041675,3,13,5,0.3333333333333333
GO:0010982,IPR029002,3,5,6,0.5454545454545454
GO:0010983,IPR029002,3,5,6,0.5454545454545454
GO:0010985,IPR009066,2,10,2,0.3333333333333333
GO:0010985,IPR010483,2,10,2,0.3333333333333333
GO:0010985,IPR015096,3,10,5,0.4
GO:0010985,IPR037999,2,10,2,0.3333333333333333
GO:0010985,IPR038001,2,10,2,0.3333333333333333
GO:0010985,IPR041051,2,10,4,0.2857142857142857
GO:0010985,IPR041052,2,10,4,0.2857142857142857
GO:0010985,IPR041254,2,10,4,0.2857142857142857
GO:0010986,IPR029002,3,9,6,0.4
GO:0010988,IPR015096,3,15,5,0.3
GO:0010988,IPR041051,2,15,4,0.21052631578947367
GO:0010988,IPR041052,2,15,4,0.21052631578947367
GO:0010988,IPR041254,2,15,4,0.21052631578947367
GO:0010988,IPR044114,2,15,3,0.2222222222222222
GO:0010989,IPR015096,3,8,5,0.46153846153846156
GO:0010989,IPR041051,2,8,4,0.3333333333333333
GO:0010989,IPR041052,2,8,4,0.3333333333333333
GO:0010989,IPR041254,2,8,4,0.3333333333333333
GO:0010990,IPR012911,3,8,8,0.375
GO:0010991,IPR012911,3,6,8,0.42857142857142855
GO:0010992,IPR013535,6,40,7,0.2553191489361702
GO:0010992,IPR015155,6,40,7,0.2553191489361702
GO:0010994,IPR042723,3,25,3,0.21428571428571427
GO:0010996,IPR020089,7,43,13,0.25
GO:0010996,IPR020090,7,43,13,0.25
GO:0010997,IPR033702,2,14,3,0.23529411764705882
GO:0010998,IPR024435,3,9,9,0.3333333333333333
GO:0012507,IPR006895,34,158,37,0.3487179487179487
GO:0012507,IPR006896,35,158,38,0.35714285714285715
GO:0012507,IPR006900,34,158,37,0.3487179487179487
GO:0012507,IPR007123,34,158,77,0.28936170212765955
GO:0012507,IPR012990,34,158,37,0.3487179487179487
GO:0012507,IPR024298,28,158,32,0.29473684210526313
GO:0012507,IPR037550,23,158,24,0.25274725274725274
GO:0012510,IPR029205,6,37,6,0.27906976744186046
GO:0014006,IPR001111,11,11,75,0.2558139534883721
GO:0014008,IPR001111,11,11,75,0.2558139534883721
GO:0014009,IPR034127,3,22,3,0.24
GO:0014010,IPR011259,2,2,15,0.23529411764705882
GO:0014010,IPR041789,2,2,15,0.23529411764705882
GO:0014022,IPR003351,2,3,9,0.3333333333333333
GO:0014022,IPR024580,2,3,8,0.36363636363636365
GO:0014031,IPR001627,50,181,94,0.36363636363636365
GO:0014031,IPR016201,39,181,118,0.2608695652173913
GO:0014032,IPR001627,50,171,94,0.37735849056603776
GO:0014032,IPR016201,39,171,118,0.2698961937716263
GO:0014033,IPR001627,50,199,94,0.3412969283276451
GO:0014033,IPR016201,39,199,118,0.24605678233438485
GO:0014034,IPR022106,3,20,6,0.23076923076923078
GO:0014036,IPR022151,3,12,14,0.23076923076923078
GO:0014038,IPR044441,2,6,9,0.26666666666666666
GO:0014040,IPR044441,2,5,9,0.2857142857142857
GO:0014047,IPR037620,4,26,8,0.23529411764705882
GO:0014047,IPR037621,4,26,8,0.23529411764705882
GO:0014047,IPR037622,4,26,8,0.23529411764705882
GO:0014049,IPR015076,2,13,4,0.23529411764705882
GO:0014050,IPR041998,2,12,2,0.2857142857142857
GO:0014052,IPR041998,2,11,2,0.3076923076923077
GO:0014053,IPR041998,2,6,2,0.5
GO:0014059,IPR001565,33,72,47,0.5546218487394958
GO:0014063,IPR041998,2,11,2,0.3076923076923077
GO:0014064,IPR013086,2,5,5,0.4
GO:0014065,IPR000341,17,71,17,0.38636363636363635
GO:0014065,IPR001263,17,71,46,0.2905982905982906
GO:0014065,IPR002420,17,71,25,0.3541666666666667
GO:0014065,IPR003113,8,71,8,0.20253164556962025
GO:0014067,IPR015098,6,35,8,0.27906976744186046
GO:0014701,IPR003032,2,6,11,0.23529411764705882
GO:0014701,IPR007943,3,6,6,0.5
GO:0014701,IPR009460,2,6,11,0.23529411764705882
GO:0014701,IPR035761,2,6,11,0.23529411764705882
GO:0014701,IPR035762,2,6,11,0.23529411764705882
GO:0014701,IPR035764,2,6,10,0.25
GO:0014705,IPR040849,2,2,13,0.26666666666666666
GO:0014717,IPR001300,7,10,55,0.2153846153846154
GO:0014717,IPR022682,7,10,54,0.21875
GO:0014717,IPR022683,7,10,52,0.22580645161290322
GO:0014717,IPR033883,7,10,45,0.2545454545454545
GO:0014718,IPR001300,7,9,55,0.21875
GO:0014718,IPR022682,7,9,54,0.2222222222222222
GO:0014718,IPR022683,7,9,52,0.22950819672131148
GO:0014718,IPR033883,7,9,45,0.25925925925925924
GO:0014722,IPR014930,2,10,9,0.21052631578947367
GO:0014722,IPR015153,3,10,16,0.23076923076923078
GO:0014722,IPR015154,3,10,16,0.23076923076923078
GO:0014722,IPR041858,3,10,9,0.3157894736842105
GO:0014722,IPR041859,3,10,8,0.3333333333333333
GO:0014722,IPR041860,3,10,8,0.3333333333333333
GO:0014728,IPR014837,2,3,15,0.2222222222222222
GO:0014731,IPR037971,3,22,3,0.24
GO:0014731,IPR040745,5,22,7,0.3448275862068966
GO:0014733,IPR025398,2,10,8,0.2222222222222222
GO:0014733,IPR040647,2,10,8,0.2222222222222222
GO:0014734,IPR003112,6,7,30,0.32432432432432434
GO:0014735,IPR002546,4,9,22,0.25806451612903225
GO:0014735,IPR032067,3,9,12,0.2857142857142857
GO:0014735,IPR032068,3,9,9,0.3333333333333333
GO:0014737,IPR002546,4,8,22,0.26666666666666666
GO:0014737,IPR032067,3,8,12,0.3
GO:0014737,IPR032068,3,8,9,0.35294117647058826
GO:0014744,IPR002546,4,12,22,0.23529411764705882
GO:0014744,IPR032067,3,12,12,0.25
GO:0014744,IPR032068,3,12,9,0.2857142857142857
GO:0014745,IPR015116,2,12,7,0.21052631578947367
GO:0014745,IPR021619,2,12,6,0.2222222222222222
GO:0014745,IPR022141,3,12,9,0.2857142857142857
GO:0014802,IPR003032,3,8,11,0.3157894736842105
GO:0014802,IPR009460,3,8,11,0.3157894736842105
GO:0014802,IPR014821,3,8,21,0.20689655172413793
GO:0014802,IPR035761,3,8,11,0.3157894736842105
GO:0014802,IPR035762,3,8,11,0.3157894736842105
GO:0014802,IPR035764,3,8,10,0.3333333333333333
GO:0014802,IPR041858,2,8,9,0.23529411764705882
GO:0014802,IPR041859,2,8,8,0.25
GO:0014802,IPR041860,2,8,8,0.25
GO:0014807,IPR006820,4,12,8,0.4
GO:0014808,IPR000699,6,17,22,0.3076923076923077
GO:0014808,IPR003032,6,17,11,0.42857142857142855
GO:0014808,IPR009460,6,17,11,0.42857142857142855
GO:0014808,IPR013662,6,17,22,0.3076923076923077
GO:0014808,IPR014821,6,17,21,0.3157894736842105
GO:0014808,IPR035761,6,17,11,0.42857142857142855
GO:0014808,IPR035762,6,17,11,0.42857142857142855
GO:0014808,IPR035764,6,17,10,0.4444444444444444
GO:0014809,IPR015153,3,8,16,0.25
GO:0014809,IPR015154,3,8,16,0.25
GO:0014809,IPR041858,3,8,9,0.35294117647058826
GO:0014809,IPR041859,3,8,8,0.375
GO:0014809,IPR041860,3,8,8,0.375
GO:0014820,IPR001928,7,17,15,0.4375
GO:0014820,IPR015725,2,17,2,0.21052631578947367
GO:0014821,IPR001928,8,41,15,0.2857142857142857
GO:0014824,IPR001928,7,14,15,0.4827586206896552
GO:0014824,IPR033834,2,14,3,0.23529411764705882
GO:0014826,IPR001928,8,10,15,0.64
GO:0014829,IPR001928,8,21,15,0.4444444444444444
GO:0014831,IPR024609,6,18,7,0.48
GO:0014832,IPR003929,4,17,16,0.24242424242424243
GO:0014832,IPR022141,4,17,9,0.3076923076923077
GO:0014846,IPR024609,6,6,7,0.9230769230769231
GO:0014848,IPR003929,4,18,16,0.23529411764705882
GO:0014848,IPR022141,4,18,9,0.2962962962962963
GO:0014854,IPR002546,4,15,22,0.21621621621621623
GO:0014857,IPR031701,5,25,21,0.21739130434782608
GO:0014862,IPR014837,2,3,15,0.2222222222222222
GO:0014870,IPR002546,4,14,22,0.2222222222222222
GO:0014873,IPR002546,4,10,22,0.25
GO:0014873,IPR033834,3,10,3,0.46153846153846156
